Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
CAT1 2001.7769         1.290         2.138         4.357   1.191   1.037   4.331
CAT1 2002.5024         7.112        -3.938        -2.824   2.252   1.896   8.020
CAT1 2002.6831       -30.183        11.529         7.947   3.779   3.156  13.448
CAT1 2002.7515        24.070        -4.667         1.653   3.309   2.770  11.808
CAT1 2004.3888         0.210        -3.189        -6.044   1.021   0.880   3.672
CAT2 2001.7796         1.328         2.014         2.506   1.189   1.028   4.130
CAT2 2002.7515         1.968         3.399         5.668   1.080   0.939   3.839
CAT2 2004.4463        -0.450        -2.521        -7.504   0.819   0.708   2.930
CAT2 2010.2587        -0.015        -4.205         0.116   0.739   0.617   2.473
CAT2 2019.0198         2.680         0.780        -2.682   0.826   0.708   2.750
CAT3 2013.8261        -0.514         2.600         3.123   0.920   0.756   3.123
CAT3 2018.9788         3.328         2.074        -2.432   0.898   0.756   3.017
CAVA 2002.6639        -1.755         0.775        -4.163   1.597   1.188   5.415
CAVA 2004.7228         1.397         1.164         3.904   1.395   1.062   4.752
CBHS 1999.5784         2.290        -1.564        -6.385   1.495   1.280   5.387
CBHS 2002.7543         2.795         3.434         6.758   0.904   0.757   3.243
CBHS 2006.1451         1.888        -3.768        -9.214   0.906   0.767   3.279
CBHS 2019.5072         5.095         0.931        -1.272   1.142   1.060   4.616
CCCC 2002.7515         2.088         2.611         5.068   0.983   0.823   3.374
CCCC 2004.3669        -0.242        -3.218        -6.242   1.254   1.058   4.297
CCCC 2004.9582        -0.172        -2.288        -6.210   1.210   1.018   4.131
CCCC 2007.2443         2.053        -2.172         0.482   0.803   0.663   2.712
CCCC 2010.1656        -2.398        -0.998        -3.245   0.877   0.716   2.943
CCCC 2017.0075         0.574        -0.854        -7.263   0.862   0.711   2.879
CCCC 2019.5099       225.884       -86.273         9.027   1.488   1.209   4.958
CCCC 2019.8385         5.271        -2.633         2.010   1.976   1.623   6.595
CCCO 1999.5510         1.839        -1.993        -9.592   1.478   1.276   5.320
CCCO 2002.7515         2.586         1.693         5.582   1.162   0.991   4.179
CCCO 2004.1314         0.711        -3.701         0.042   1.712   1.450   6.107
CCCO 2004.4545        -1.064        -1.356        -6.595   1.747   1.477   6.225
CCCO 2005.9493        -0.441        -3.896         8.197   1.167   0.989   4.182
CCCO 2007.5236         0.554         5.951       -12.768   1.106   0.938   3.984
CCCO 2010.1821        -2.615        -3.343        -5.990   1.131   0.951   4.039
CCCO 2011.2471        -1.212        -7.293         8.932   1.090   0.909   3.863
CCCS 1999.5373        -2.395         1.387        -9.539   1.854   1.579   6.567
CCCS 1999.9945         4.979        -0.360         3.791   1.528   1.293   5.419
CCCS 2001.4456        -4.267         2.425        -8.736   1.504   1.260   5.356
CCCS 2001.9932         2.218        -0.502         7.074   1.872   1.607   6.816
CCCS 2002.3655        -2.646        -0.301        -1.447   2.024   1.738   7.443
CCCS 2002.8172         3.459         2.599         8.135   1.853   1.576   6.820
CCCS 2003.4606        -1.989         1.676        -6.897   1.565   1.337   5.766
CCCS 2004.4435        -4.070        -2.757       -14.480   1.355   1.144   4.934
CCCS 2005.7194         3.687         1.097         5.247   1.418   1.180   5.125
CCCS 2006.4695        -2.804         1.087        -2.246   1.479   1.248   5.424
CCCS 2007.5127        -6.940        -1.141       -13.194   1.406   1.200   5.243
CCCS 2008.5120        -2.083        -4.126        -6.030   1.421   1.192   5.245
CCCS 2009.4675        -3.141         0.694         4.643   1.337   1.114   4.834
CCCS 2011.2854         3.661         4.125         8.573   1.324   1.084   4.729
CCCS 2012.2710        -2.220         2.276        -2.869   1.344   1.091   4.796
CCCS 2013.4401        -3.064        -0.676        -8.250   2.099   1.706   7.350
CCCS 2013.6756        -2.966        -2.136        -5.204   2.168   1.753   7.544
CCCS 2014.4723        -0.053        -4.818        -4.961   1.482   1.199   5.146
CCCS 2017.2485         0.447         5.946         1.234   1.369   1.136   4.721
CCCS 2018.5792        -1.460         0.435        -4.781   1.449   1.185   4.937
CCCS 2019.1869         3.736         3.216        -5.127   1.449   1.188   4.961
CCJ2 2010.9706        -3.485        -8.771         2.369   1.666   1.440   6.531
CCJ2 2011.3155        -2.499         9.009         7.655   1.563   1.355   6.116
CCJ2 2012.9363         0.060         9.013        10.979   1.287   1.139   5.289
CCJ2 2014.9076         2.920         5.846         7.512   1.392   1.236   5.731
CCJ2 2016.9747        -1.220         4.301        10.775   1.309   1.193   5.556
CCJ2 2018.8557         4.815         9.443        16.070   1.299   1.185   5.667
CCJM 1995.7317        -1.239        -6.385       -26.986   2.496   2.406  10.952
CCJM 1996.6461        -3.162         6.891        20.705   2.043   1.969   8.949
CCJM 1997.3809         2.568        -5.569        -9.563   1.794   1.744   7.820
CCJM 1999.6030         0.067        -5.340        16.524   1.667   1.633   7.096
CCJM 2001.1555         9.910         4.108       120.250   1.642   1.613   7.088
CCJM 2002.3956        -6.854         0.661        -2.607   1.676   1.657   7.502
CCJM 2003.1321         7.410         6.104         8.542   1.518   1.471   6.607
CCJM 2004.4928         1.659        -8.663        -6.183   1.349   1.269   5.189
CCJM 2004.9363        -1.264         1.495        13.030   1.392   1.310   5.379
CCJM 2007.8029        -1.126         6.652        11.777   1.425   1.307   5.489
CCJM 2008.1862        -6.424        12.604        -0.622   1.406   1.269   5.371
CCJM 2009.5277        -1.574         9.227         6.580   1.065   0.968   4.069
CCJM 2010.9706        -8.005       -16.741        -2.359   1.726   1.538   6.430
CCST 2003.0310         4.354         3.549         2.641   1.863   1.485   6.641
CCST 2004.8214         0.064        -2.691       -11.483   1.161   0.915   4.065
CCST 2007.6934         2.717         1.203        -3.611   1.191   0.928   4.195
CDMT 2001.2813        -1.009        -2.401         4.324   1.979   1.788   7.365
CDMT 2002.3655        -1.722        -1.001         2.133   1.622   1.412   5.817
CDMT 2002.7543         0.918         1.334         6.802   1.538   1.335   5.488
CDMT 2004.3915        -1.897        -5.656        -7.010   0.925   0.806   3.289
CDMT 2006.2751        -0.849        -1.924         2.400   0.813   0.705   2.875
CDMT 2010.2779        -6.855        -0.078         3.444   0.781   0.668   2.742
CDMT 2012.2382        -2.400         0.576         4.019   0.857   0.730   3.008
CDMT 2019.5072         1.919         5.978        -3.189   1.156   1.010   4.085
CEBR 2013.0241        -4.848        -0.037       -18.116   2.646   2.086   8.511
CEBR 2019.7160         0.669        -2.222        29.535   1.420   1.134   4.575
CEDA 1999.5866        -1.786        -1.905        38.542   0.853   0.674   2.863
CEDA 2002.2177         0.227         0.350         3.715   1.378   1.106   4.573
CEDA 2002.7324         0.331         2.352         6.488   1.441   1.159   4.781
CEDA 2004.3641        -0.129        -2.843        -4.015   1.468   1.180   4.828
CEDA 2004.8679         1.244        -1.261        -4.890   1.376   1.101   4.487
CEDA 2016.9090         0.916        -1.147        -3.641   0.778   0.610   2.350
CEDA 2018.8501        -1.642         3.190        -3.564   1.038   0.814   3.117
CEDU 2005.4222        -2.058         1.458        -7.185   0.697   0.608   2.600
CEDU 2016.7942         1.190        -1.333        -7.788   0.629   0.547   2.274
CENA 1998.2615         7.962        -8.219       -11.615   2.875   2.043   9.445
CENA 2001.9138         4.247        -1.359         5.088   2.950   2.080   9.274
CENA 2003.0500       -46.144        13.885         5.594   3.107   2.187   9.803
CENA 2005.8672        -6.504        -6.387        15.927   3.237   2.389  10.011
CENA 2006.3847        -2.124         3.534        -6.776   3.139   2.329   9.726
CEUT 2005.1911         8.904        -1.258        -4.150   1.564   1.376   5.803
CFAG 2010.1574       -21.367       -34.992         9.263   1.052   1.028   4.132
CGDM 2003.0308         3.108         3.409         6.992   1.295   1.049   4.659
CGDM 2004.3751        -1.345        -4.759        -6.780   1.720   1.406   6.211
CGDM 2004.8159         4.876         1.932        -5.082   1.679   1.365   6.034
CGDM 2006.4449        -3.177        -3.604         0.108   1.116   0.892   3.955
CGDM 2008.0328         3.203         3.854         4.724   1.572   1.254   5.554
CGDM 2008.5174        -2.622        -3.593        -2.921   1.693   1.347   5.981
CGDM 2009.9795         1.746         1.215        -1.043   1.198   0.955   4.245
CGDM 2012.1040        -3.228        -2.576         3.271   1.056   0.832   3.727
CHA1 1997.3032         0.169         1.589       -14.827   1.223   1.122   4.688
CHAB 1996.2723        -7.522         5.915        65.707   1.405   1.161   5.031
CHAB 1997.8617        -4.689        -0.409        -3.764   1.152   0.959   4.108
CHAB 1999.7591        -0.849        -0.232         8.976   1.108   0.925   3.999
CHAB 2002.7515        -1.823         4.870         8.734   1.111   0.910   4.014
CHAB 2004.3806        -1.565        -4.010        -4.036   1.281   1.056   4.591
CHAB 2005.3564         1.059        -2.293        -3.198   1.241   1.022   4.444
CHAB 2009.2827         5.314        -5.483       -26.437   1.176   0.957   4.294
CHAN 2008.7200         0.732        -4.395        -1.380   0.970   0.730   2.941
CHAN 2011.1923        -8.427        21.196        -0.244   1.090   0.816   3.264
CHAN 2012.1013       -11.941         4.282        -0.365   2.251   1.667   6.595
CHAN 2012.2683         8.674         0.651        -0.811   2.444   1.817   7.227
CHAN 2012.7009        -0.419        -0.314        -9.864   1.839   1.377   5.519
CHAN 2013.1718         0.654         1.203         5.751   1.446   1.071   4.267
CHAN 2015.2279        -4.174         0.697         2.668   1.024   0.759   3.039
CHAT 2001.9083         6.886         4.888        11.244   0.898   0.705   2.938
CHAT 2004.3422         1.218         2.328        -0.064   0.900   0.706   2.881
CHB1 1997.3744         4.583         3.715        -2.944   1.285   0.947   4.010
CHB1 1999.5400         4.258         1.280         2.929   1.247   0.921   3.892
CHB1 2002.8227        -2.687         0.451         4.263   1.615   1.218   5.074
CHB1 2007.8302         7.216        -4.048        79.078   5.089   3.722  15.671
CHCM 2006.9981         0.363        -1.224        -4.529   1.438   1.033   3.986
CHCM 2008.5120        -0.592        -1.280         4.627   1.484   1.058   4.165
CHCM 2010.9733        -2.258        -0.372       -50.190   6.422   4.445  18.342
CHCM 2010.9925         4.089        -2.815        41.319   6.411   4.437  18.296
CHCM 2018.6420         1.829        -1.659        85.111   1.575   1.120   4.626
CHCM 2019.1403        -0.567         3.671       -81.498   1.665   1.186   4.923
CHI3 2001.1417        -4.736         2.113        -9.627   1.482   0.970   4.384
CHI3 2002.9760        15.656         0.485         6.487   1.895   1.246   5.590
CHI3 2007.7016        -0.599         3.636       101.617  10.629   7.325  31.728
CHIL 1995.4086         1.767        -0.929       -30.773   1.361   1.155   5.211
CHIL 1998.2587        -0.229        -1.930        -6.212   0.933   0.789   3.615
CHIL 1999.7864         3.088        -6.134         4.790   0.901   0.763   3.529
CHIL 2002.7543         2.758         2.963         8.360   0.894   0.758   3.533
CHIL 2004.3751        -0.641        -3.050        -4.107   1.479   1.273   5.751
CHIL 2004.8268         1.214        -1.256        -8.661   1.386   1.196   5.379
CHIL 2018.9185         2.350         2.718        -5.781   1.683   1.548   5.899
CHIL 2019.5072         8.320        -0.457         4.008   1.889   1.724   6.691
CHIZ 2013.9932        -1.093         1.394       107.380   9.680   7.280  30.414
CHIZ 2014.0041        -0.926        -2.392      -213.245  10.552   7.960  33.139
CHIZ 2014.0506         3.115         0.842        99.650   4.305   3.297  13.468
CHIZ 2019.1786         2.413         0.441        -9.022   1.027   0.770   3.097
CHLO 2002.7296         0.919         3.102         7.539   0.964   0.826   3.462
CHLO 2004.3751        -0.019        -2.828        -5.464   1.357   1.179   4.893
CHLO 2004.9528         0.242        -1.811        -4.469   1.344   1.162   4.823
CHMS 2002.7543         3.064         0.905         5.982   0.881   0.742   3.074
CHMS 2004.4572        -0.740        -4.867       -11.820   0.883   0.740   3.089
CHMS 2007.4031        -2.729         2.815        13.711   1.349   1.170   5.166
CHMS 2007.8877         1.964        -1.935        -7.656   1.724   1.488   6.552
CHMS 2008.4079        -4.128         6.851        17.509   1.765   1.509   6.765
CHMS 2008.9062         4.368        -6.339       -16.327   1.857   1.569   7.069
CHMS 2009.3498        -4.854         6.545        12.314   1.897   1.656   7.322
CHMS 2009.8590         2.011        -5.906       -11.791   1.845   1.644   7.244
